regulator	target	mor	likelihood
E2F1_UP.V1_DN	NEAT1	1	1
E2F1_UP.V1_DN	STAT3	1	1
E2F1_UP.V1_DN	APBB2	1	1
E2F1_UP.V1_DN	MLL5	1	1
E2F1_UP.V1_DN	MDK	1	1
E2F1_UP.V1_DN	WDR26	1	1
E2F1_UP.V1_DN	RUNX2	1	1
E2F1_UP.V1_DN	ASL	1	1
E2F1_UP.V1_DN	TMEM45A	1	1
E2F1_UP.V1_DN	SLC35E4	1	1
E2F1_UP.V1_DN	CYTIP	1	1
E2F1_UP.V1_DN	HBG2	1	1
E2F1_UP.V1_DN	ZBTB20	1	1
E2F1_UP.V1_DN	FMO3	1	1
E2F1_UP.V1_DN	RUNX1T1	1	1
E2F1_UP.V1_DN	C18orf8	1	1
E2F1_UP.V1_DN	MYC	1	1
E2F1_UP.V1_DN	ACOX1	1	1
E2F1_UP.V1_DN	COL11A1	1	1
E2F1_UP.V1_DN	DAB2	1	1
E2F1_UP.V1_DN	CHRNA7	1	1
E2F1_UP.V1_DN	PLA2G4A	1	1
E2F1_UP.V1_DN	A4GALT	1	1
E2F1_UP.V1_DN	SLC11A2	1	1
E2F1_UP.V1_DN	CIRBP	1	1
E2F1_UP.V1_DN	CD3E	1	1
E2F1_UP.V1_DN	RTKN	1	1
E2F1_UP.V1_DN	RAB9A	1	1
E2F1_UP.V1_DN	PSEN2	1	1
E2F1_UP.V1_DN	NFKBIZ	1	1
E2F1_UP.V1_DN	JUB	1	1
E2F1_UP.V1_DN	MLX	1	1
E2F1_UP.V1_DN	C19orf50	1	1
E2F1_UP.V1_DN	NUMA1	1	1
E2F1_UP.V1_DN	SNAI1	1	1
E2F1_UP.V1_DN	NPR1	1	1
E2F1_UP.V1_UP	RRP1B	1	1
E2F1_UP.V1_UP	HES1	1	1
E2F1_UP.V1_UP	ADCY6	1	1
E2F1_UP.V1_UP	CHAF1B	1	1
E2F1_UP.V1_UP	VPS37B	1	1
E2F1_UP.V1_UP	GRSF1	1	1
E2F1_UP.V1_UP	TLX2	1	1
E2F1_UP.V1_UP	SSX2IP	1	1
E2F1_UP.V1_UP	DNA2	1	1
E2F1_UP.V1_UP	CMA1	1	1
E2F1_UP.V1_UP	ZFPM1	1	1
E2F1_UP.V1_UP	CLN6	1	1
E2F1_UP.V1_UP	CASP7	1	1
E2F1_UP.V1_UP	BOK	1	1
E2F1_UP.V1_UP	PITPNM1	1	1
E2F1_UP.V1_UP	EFNB2	1	1
E2F1_UP.V1_UP	CAPRIN2	1	1
E2F1_UP.V1_UP	MTSS1L	1	1
