regulator	target	mor	likelihood
HALLMARK_TNFA_SIGNALING_VIA_NFKB	B4GALT1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	DNAJB4	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CSF2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PDE4B	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	SNN	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PLEK	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	STAT5A	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	DENND5A	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CCND1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	DDX58	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	SPHK1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CD80	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TNFAIP8	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CCNL1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	FUT4	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CCRL2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	SPSB1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TSC22D1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	B4GALT5	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	SIK1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CLCF1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	NFE2L2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	FOSB	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PER1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	NFAT5	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	ATP2B1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	IL12B	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	IL6ST	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	SLC16A6	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	ABCA1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HES1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	BCL6	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	IRS2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	SLC2A3	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CEBPD	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	IL23A	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	SMAD3	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TAP1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	MSC	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	IFIH1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	IL15RA	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TNIP2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	BCL3	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PANX1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	FJX1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	EDN1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	EIF1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	BMP2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	DUSP4	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PDLIM5	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	ICOSLG	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	GFPT2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	KLF2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TNC	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	SERPINB8	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	MXD1	1	1
HALLMARK_HYPOXIA	PGK1	1	1
HALLMARK_HYPOXIA	PDK1	1	1
HALLMARK_HYPOXIA	GBE1	1	1
HALLMARK_HYPOXIA	PFKL	1	1
HALLMARK_HYPOXIA	ALDOA	1	1
HALLMARK_HYPOXIA	ENO2	1	1
HALLMARK_HYPOXIA	PGM1	1	1
HALLMARK_HYPOXIA	NDRG1	1	1
HALLMARK_HYPOXIA	HK2	1	1
HALLMARK_HYPOXIA	ALDOC	1	1
HALLMARK_HYPOXIA	GPI	1	1
HALLMARK_HYPOXIA	MXI1	1	1
HALLMARK_HYPOXIA	SLC2A1	1	1
HALLMARK_HYPOXIA	P4HA1	1	1
HALLMARK_HYPOXIA	ADM	1	1
HALLMARK_HYPOXIA	P4HA2	1	1
HALLMARK_HYPOXIA	ENO1	1	1
HALLMARK_HYPOXIA	PFKP	1	1
HALLMARK_HYPOXIA	AK4	1	1
HALLMARK_HYPOXIA	FAM162A	1	1
HALLMARK_HYPOXIA	PFKFB3	1	1
